title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
Storm: Letters van Vuur,2016,,,Adventure,,,,Dennis Bots,,"$450,448"
Storm Surfers 3D,2013,Not Rated,95 minutes,Documentary,,,,Christopher Nelius,,
A Storm in the Stars,2016,,,Drama,,,,Haifaa Al-Mansour,Elle Fanning,
Storm,2009,Not Rated,,Drama,,,,,,
Storm Catcher,1999,R,,Thriller/Suspense,,,,Anthony Hickox,,
Storm in the Afternoon,1998,,,,,,,,,
De Storm,2009,,,,,,,,,"$6,730,513"
A Stork's Journey,2017,PG,85 minutes,Adventure,,,,,,"$7,982,629"
Storks,2016,PG,100 minutes,Adventure,,,,Nicholas Stoller,"Andy Samberg,Kelsey Grammer,Katie Crown,Keegan-Michael Key,Jordan Peele,Jennifer Aniston,Ty Burrell,Danny Trejo,Anton Starkman,Stephen Kramer Glickman","$174,102,281"
Stories of Our Lives,2014,,,Drama,,,,Jim Chuchu,,
Storefront Hitchcock,1998,PG-13,,,,,,Jonathan Demme,,
Storage 24,2013,R,87 minutes,Horror,,,,Johannes Roberts,"Noel Clarke,Laura Haddock","$626,666"
Stories We Tell,2012,PG-13,108 minutes,Documentary,,,,Sarah Polley,,"$3,043,717"
Stopping Power,2009,,,Thriller/Suspense,,,,Jan De Bont,John Cusack,
Stopping Traffic,2017,,79 minutes,Documentary,,,,Sadhvi Siddhali Shree,,
Stop the Pounding Heart,2014,Not Rated,101 minutes,Drama,,,,Roberto Minervini,Sara Carlson,
Stop at Nothing: The Lance Armstrong Story,2017,,,Documentary,,,,Alex Holmes,,
Stoogemania,1985,,,Comedy,,,,,,
Stonewall Uprising,2010,Not Rated,,Documentary,,,,,,
Stop! Or My Mom Will Shoot,1992,PG-13,,Comedy,,,,Roger Spottiswoode,Sylvester Stallone,"$70,411,000"
Stonewall,2015,R,129 minutes,Drama,,,,Roland Emmerich,"Jeremy Irvine,Jonny Beauchamp,Caleb Landry-Jones,Jonathan Rhys-Meyers,Joey King,Otoja Abit,Vladimir Alexis","$292,203"
Stop Making Sense,1984,Not Rated,88 minutes,Concert/Performance,,,,Jonathan Demme,,"$5,027,479"
Stop-Loss,2008,R,113 minutes,Drama,,,,Kimberly Peirce,"Ryan Phillippe,Abbie Cornish,Channing Tatum,Joseph Gordon-Levitt","$11,229,035"
The Stoning of Soraya M.,2009,R,116 minutes,Drama,,,,Cyrus Nowrasteh,Shohreh Aghdashloo,"$1,313,014"
A Stone's Throw,2007,,,Drama,,,,,,
Stonehenge Apocalypse,2010,PG-13,,Thriller/Suspense,,,,,,
Stonehearst Asylum,2014,PG-13,112 minutes,Thriller/Suspense,,,,Brad Anderson,"Kate Beckinsale,Jim Sturgess,Ben Kingsley,Michael Caine","$3,197,693"
The Stone Roses: Made of Stone,2013,,,Documentary,,,,Shane Meadows,,
Stonewall,1996,R,,Drama,,,,,"Guillermo Diaz,Fred Weller,Brendan Corbalis,Bruce MacVittie,Duane Boutte",
Stoned,2006,R,,Drama,,,,,,
Stone of Destiny,2009,PG,,,,,,,,
Stone Reader,2003,PG-13,,,,,,,,
Stone Cold Jane Austen,2015,Not Rated,,Comedy,,,,Jon Savage,,
Stone Cold Dead,1980,,,,,,,George Mendeluk,,
Stone Bros.,2009,,,,,,,,,
The Stone Boy,1984,,,Drama,,,,,,
Stone Cold,1991,R,95 minutes,Action,,,,Craig R. Baxley,,
The Stone Angel,2008,R,,Drama,,,,,,
Stomp the Yard: The Homecoming,2010,PG-13,,Drama,,,,,,
Stone,2010,R,105 minutes,Drama,,,,John Curran,"Robert De Niro,Edward Norton,Milla Jovovich","$4,065,020"
The Stolen,2017,,98 minutes,Drama,,,,Niall Johnson,,"$27,632"
Stolen Jools,1932,,20 minutes,,,,,,,
Stolen Summer,2002,PG,,,,,,,,
Stolen,2010,R,,,,,,,,
Stolen Childhoods,2005,Not Rated,,Documentary,,,,,,
Stomp the Yard,2007,PG-13,116 minutes,Drama,,,,,Columbus Short,"$75,525,718"
Stolen,2012,R,96 minutes,Action,,,,Simon West,Nicolas Cage,"$17,967,746"
Stolen,2006,Not Rated,,Documentary,,,,,,
Stoked: The Rise and Fall of Gator,2003,R,,,,,,,,
"Stockholm, My Love",2016,,88 minutes,Musical,,,,Mark Cousins,,"$16,229"
The Stoic,2017,R,87 minutes,Action,,,,Isaac Florentine,Antonio Banderas,"$140,716"
Stockpile,2001,,,,,,,,,
Stockholm,2017,,,Drama,,,,Robert Budreau,,
Stoker,2013,R,100 minutes,Drama,,,,Park Chan-wook,"Mia Wasikowska,Matthew Goode,Nicole Kidman","$12,034,913"
Stock Option,2016,,,Drama,,,,Mark Harris,,
Stitches,2013,R,86 minutes,Black Comedy,,,,Conor McMahon,Ross Noble,"$63,555"
Stingaree,1934,,77 minutes,,,,,William A. Wellman,,
Stir Crazy,1980,R,111 minutes,Comedy,,,,Sidney Poitier,,
The Sting,1973,PG,129 minutes,Comedy,,,,George Roy Hill,"Paul Newman,Robert Redford",
The Sting II,1983,,,Comedy,,,,Jeremy Paul Kagan,,
Stilyagi,2012,,130 minutes,Multiple Genres,,,,Valeriy Todorovsky,,
Stir of Echoes,1999,R,99 minutes,Thriller/Suspense,,,,David Koepp,,
Die Stille vor Bach,2008,,,Musical,,,,,,
"Still, We Believe: The Boston Red Sox Movie",2004,Not Rated,,Documentary,,,,,,
Still of the Night,1982,,,Thriller/Suspense,,,,,Meryl Streep,
Still Mine,2013,PG-13,103 minutes,Drama,,,,,"James Cromwell,GeneviÃ¨ve Bujold",
"Still, the Children are Here",2004,Not Rated,,Documentary,,,,,,
Still Loved,2015,,80 minutes,Documentary,,,,Debbie Howard,,"$7,822"
Still Smokin,1983,,,Comedy,,,,Tommy Chong,Cheech Marin,
Still Walking,2009,Not Rated,,,,,,,,"$296,122"
Still Waiting...,2009,,,Comedy,,,,,,
Still Life: A Three Pines Mystery,2014,,,Drama,,,,Peter Moss,,
Still Crazy,1999,R,,,,,,,,
Still,2011,,,,,,,,,"$95,141"
Still/Born,2018,R,,Horror,,,,Brandon Christensen,,
Still,2014,Not Rated,104 minutes,Thriller/Suspense,,,,Simon Blake,,
Still Life,2015,Not Rated,93 minutes,Comedy,,,,Uberto Pasolini,"Eddie Marsan,Joanne Froggatt","$1,422,153"
Still Breathing,1998,PG-13,,,,,,,,
Stiffs,2010,R,,Black Comedy,,,,,,
Stiletto,2009,,,Thriller/Suspense,,,,,,
The Sticky Fingers of Time,1999,,81 minutes,Thriller/Suspense,,,,,,"$20,628"
Sticky Notes,2014,,,Drama,,,,Amanda Harlib,,
Stiff Upper Lips,1999,,,,,,,,,
Sticky and Sweet Tour,2010,,,,,,,,,
Stigmata,1999,R,103 minutes,Horror,,,,Rupert Wainwright,Patricia Arquette,"$89,441,732"
Still Alice,2015,PG-13,99 minutes,Drama,,,,Richard Glatzer,Julianne Moore,"$41,699,612"
Sticks and Stones,2009,PG,,,,,,,,
The Stick Up Kids,2010,R,,,,,,,,
Stick,1985,,,Action,,,,Burt Reynolds,,
Stevie Nicks: In Your Dreams,2013,,,Documentary,,,,Dave Stewart,,
The Stewardesses,1969,,,,,,,,,"$25,000,000"
Stick It,2006,PG-13,,Comedy,,,,,,"$30,399,714"
Stevie D,2016,,,Comedy,,,,Chris Cordone,,
Stevie,2003,R,,Documentary,,,,,"Steve James,Stephen ""Stevie"" Fielding",
Steve McQueen: American Icon,2017,,,Documentary,,,,,,
Steve McQueen: The Man & Le Mans,2015,Not Rated,102 minutes,Documentary,,,,John McKenna,,"$84,705"
Steve Jobs: The Man in the Machine,2015,R,127 minutes,Documentary,,,,Alex Gibney,,
Steve Jobs: The Lost Interview,2012,Not Rated,70 minutes,Documentary,,,,Paul Sen,,"$108,071"
Steve Harvey: Still Trippinâ€™,2008,,106 minutes,Concert/Performance,,,,,,
Steve + Sky,2005,Not Rated,,,,,,,,
Steve Jobs,2015,R,121 minutes,Drama,,,,Danny Boyle,Michael Fassbender,"$35,579,007"
The Sterile Cuckoo,1969,,,,,,,,,
The Steps,2016,R,98 minutes,Comedy,,,,Andrew Currie,"Jason Ritter,Emmanuelle Chriqui,James Brolin,Christine Lahti,Steven McCarthy,Vinay Virmani,Kate Corbett,Benjamin Arthur",
Steppin: The Movie,2008,PG-13,,Comedy,,,,Michael Taliferro,,
Stephanie,2017,R,,Horror,,,,Akiva Goldsman,,
Stephen King's It,2002,,,Horror,,,,,,
Stephanie Daley,2007,R,,Drama,,,,,,
Stepmom,1998,PG-13,120 minutes,Drama,,,,Chris Columbus,"Julia Roberts,Susan Sarandon","$159,745,279"
The Stepford Wives,1975,PG-13,,,,,,,,
The Stepfather,1987,PG-13,,,,,,Joseph Ruben,,
The Stepfather,2009,PG-13,101 minutes,Thriller/Suspense,,,,,"Dylan Walsh,Penn Badgley","$29,227,561"
The Stepford Wives,2004,PG-13,,Comedy,,,,Frank Oz,"Nicole Kidman,Matthew Broderick,Bette Midler,Christopher Walken,Faith Hill,Glenn Close","$96,221,971"
The Stepfather 2,1989,,,,,,,Jeff Burr,,
Step Up Revolution,2012,PG-13,97 minutes,Drama,,,,Scott Speer,"Ryan Guzman,Kathryn McCormick,Misha Gabriel,Cleopatra Coleman,Stephen 'Twitch' Boss,Tommy Dewey,Peter Gallagher,Mia Michaels","$165,552,290"
Step Up 3D,2010,PG-13,97 minutes,Drama,,,,Jon M. Chu,"Rick Malambri,Sharni Vinson","$165,889,117"
Step Up All In,2014,PG-13,112 minutes,Drama,,,,Trish Sie,"Ryan Guzman,Briana Evigan,Stephen 'Twitch' Boss,Misha Gabriel,Izabella Miko,Alyson Stoner,Adam Sevani","$77,804,384"
Step Off,2011,R,,,,,,,,
Step Sisters,2017,PG-13,,Comedy,,,,Charles Stone III,,
A Step Toward Tomorrow,1996,Not Rated,120 minutes,Drama,,,,Deborah Reinsch,,
Step Up 2 the Streets,2008,PG-13,98 minutes,Drama,,,,Jon M. Chu,"Briana Evigan,Robert Hoffman","$148,586,910"
Step Up,2006,PG-13,103 minutes,Drama,,,,Anne Fletcher,"Channing Tatum,Jenna Dewan","$110,989,157"
Step Away from the Stone,2010,PG-13,,,,,,,,
Step Into Liquid,2003,PG,,Documentary,,,,,,"$3,975,542"
Stella Street,2004,R,,Comedy,,,,,,
Stellet licht,2009,Not Rated,,Drama,,,,,Cornelio Wall Fehr,
Stella Does Tricks,2000,Not Rated,99 minutes,,,,,,,
Step,2017,PG,84 minutes,Documentary,,,,Amanda Lipitz,,"$1,152,837"
Stella Days,2012,,87 minutes,Drama,,,,Thaddeus O'Sullivan,"Martin Sheen,Joseph O'Sullivan,Stephen Rea",
Step Brothers,2008,R,95 minutes,Comedy,,,,Adam McKay,"Will Ferrell,John C. Reilly","$128,468,793"
Stella cadente,2015,,,Drama,,,,Luis Minarro,,"$22,455"
Stella Dallas,1937,,106 minutes,Drama,,,,King Vidor,,
Stella,1990,PG-13,,Drama,,,,John Erman,"Bette Midler,Trini Alvarado",
Steep,2007,PG,,Documentary,,,,,Peter Krause,
Steel Magnolias,2013,,,Drama,,,,,,
Stefan Zweig: Farewell to Europe,2017,Not Rated,106 minutes,Drama,,,,Maria Schrader,Josef Hader,"$636,475"
Steel Spirit,2003,,90 minutes,Adventure,,,,Steve Pershing,,
Steel Toes,2007,R,,Drama,,,,,,
Steel Dawn,1987,,,Action,,,,,Patrick Swayze,
Steel Country,2016,,,Thriller/Suspense,,,,Simon Fellows,Andrew Scott,
Steel,2015,Not Rated,,Drama,,,,Sven J. Matten,,
Steel Magnolias,1989,PG,,Comedy,,,,Herbert Ross,,"$95,151,938"
Steel Chariots,1997,Not Rated,,,,,,Tommy Lee Wallace,,
Steel City,2007,R,,,,,,Brian Jun,"John Heard,Tom Guiry,America Ferrera",
Steekspel,2016,Not Rated,85 minutes,Comedy,,,,Paul Verhoeven,"Peter Blok,Sallie Harmsen",
Steel,1997,PG-13,,Action,,,,Kenneth Johnson,,
Stebuklas,2017,,91 minutes,Drama,,,,EglÄ— VertelytÄ—,,"$97,649"
Steaming,2016,,,,,,,Joseph Losey,,
The Steam Experiment,2009,R,,,,,,,,
Steamboy,2005,PG-13,,Action,,,,,,"$10,468,867"
Stealing Roses,2012,PG,,,,,,Megan Clare Johnson,"John Heard,Cindy Williams",
"Steamboat Bill, Jr.",1928,Not Rated,71 minutes,Comedy,,,,Charles Reisner,,"$4,121"
Steam: The Turkish Bath,1998,Not Rated,,Drama,,,,,,
Stealth,2005,PG-13,121 minutes,Action,,,,Rob Cohen,"Josh Lucas,Jessica Biel,Jamie Foxx","$76,416,746"
Stealing Home,1988,,,Drama,,,,,,
Stealing Harvard,2002,PG-13,,Comedy,,,,,,
Stealing Charlie Chaplin,2017,,,Documentary,,,,Philip Boatswain,,
Stealing Christmas,2004,,,Comedy,,,,,,
Stealing Cars,2016,R,101 minutes,Drama,,,,Bradley Jay Kaplan,"Emory Cohen,Mike Epps,Felicity Huffman,William H. Macy",
Stealing Beauty,1996,R,,Drama,,,,Bernardo Bertolucci,,
Stealing America: Vote by Vote,2008,Not Rated,,Documentary,,,,,,
Steal This Movie,2000,R,,,,,,,,
Steal Me,2005,Not Rated,,Drama,,,,,,
"Steal Big, Steal Little",1995,PG-13,,Comedy,,,,Andrew Davis,,
Steal (Canadian Release),2003,Not Rated,,,,,,,,
Steal a Pencil for Me,2007,Not Rated,,Documentary,,,,,,
Stay Cool,2011,PG-13,108 minutes,Comedy,,,,Michael Polish,"Winona Ryder,Mark Polish,Sean Astin,Hilary Duff,Josh Holloway,Chevy Chase",
Steak,2007,,,,,,,,,"$1,995,149"
Steak (R)evolution,2015,Not Rated,110 minutes,Documentary,,,,Franck Ribiere,,
Stay Tuned,1992,PG,88 minutes,Adventure,,,,Peter Hyams,,
Staying Together,1989,,,Comedy,,,,,,
Staying Alive,1983,PG,,Musical,,,,Sylvester Stallone,John Travolta,"$126,041,474"
Stay,2014,Not Rated,99 minutes,Drama,,,,Wiebke von Carolsfeld,"Aidan Quinn,Taylor Schilling",
Stay Alive,2006,PG-13,,Horror,,,,,,"$23,187,506"
Stavka na lyubov,2015,,95 minutes,Romantic Comedy,,,,,,"$234,285"
Staub,2008,Not Rated,90 minutes,Documentary,,,,,,
Status Update,2018,PG-13,,Comedy,,,,Scott Speer,,"$190,188"
Staunton Hill,2009,,,Horror,,,,,,
Status: Svoboden,2016,,,Romantic Comedy,,,,Pavel Ruminov,,"$63,918"
Stay,2005,R,,Thriller/Suspense,,,,Marc Forster,,"$4,117,883"
The Statistical Probability of Love at First Sight,2016,,,Drama,,,,Dustin Lance Black,,
Stations of the Elevated,2014,Not Rated,,Documentary,,,,Manfred Kirchheimer,,
Station Nord,2002,Not Rated,,,,,,,,
Staten Island Summer,2014,R,,Comedy,,,,Rhys Thomas,,
Station to Station,2015,Not Rated,70 minutes,Documentary,,,,Doug Aitken,,"$10,530"
States of Control,2001,,,,,,,,,
Stateside,2004,R,,Drama,,,,,,
The Station Agent,2003,R,90 minutes,Drama,,,,Thomas McCarthy,,"$9,470,209"
Staten Island,2009,R,,Drama,,,,James DeMonaco,,
State Property 2,2005,R,,Action,,,,,,
The Statement,2003,R,,Thriller/Suspense,,,,Norman Jewison,,"$1,545,064"
State of the Union,1947,,124 minutes,Drama,,,,,,
State Property,2002,R,,Action,,,,,,
A State of Mind,2005,Not Rated,,Documentary,,,,,,
The State of Marriage,2016,,,Documentary,,,,Jeff Kauffman,,
State of Grace,1990,,,Drama,,,,Phil Joanou,,
State of Play,2009,PG-13,127 minutes,Thriller/Suspense,,,,Kevin MacDonald,"Russell Crowe,Ben Affleck,Rachel McAdams,Helen Mirren","$88,832,210"
State Like Sleep,2015,,,Drama,,,,Meredith Danluck,,
State Fair,1962,,,,,,,,,
State of Emergency,2013,,,Thriller/Suspense,,,,,,
State Fair,1945,,100 minutes,,,,,,,
State and Main,2000,R,,Comedy,,,,David Mamet,,"$9,182,500"
State 194,2013,PG,98 minutes,Documentary,,,,Dan Setton,,
Stash House,2012,R,,Action,,,,Eduardo Rodriguez,,
Starving the Beast,2016,Not Rated,95 minutes,Documentary,,,,Steve Mims,,
The Starving Games,2013,PG-13,83 minutes,Comedy,,,,Jason Friedberg,"Maiara Walsh,Brant Daugherty,Cody Allen Christian,Lauren Bowles,Diedrich Bader","$176,615"
#Starvecrow,2017,,89 minutes,Drama,,,,James Carver,,$795
The Startup: Accendi il tuo futuro,2017,,97 minutes,Comedy,,,,Alessandro D'Alatri,,"$239,989"
Startup.com,2001,R,,Documentary,,,,,,"$1,827,627"
Starter for Ten,2007,PG-13,96 minutes,Drama,,,,Tom Vaughan,James McAvoy,
Start the Revolution Without Me,1970,,90 minutes,Comedy,,,,,,
Starsuckers,2009,,,Documentary,,,,Chris Atkins,,"$14,812"
Starstruck,2010,,,Musical,,,,,,
Starship Troopers: Traitor of Mars,2017,R,88 minutes,Action,,,,Shinji Aramaki,,"$1,566"
Starship Troopers 2 - Hero of the Federation,2004,,,Action,,,,,,
Starship Troopers 3 - Marauder,2008,,,Action,,,,,Casper Van Dien,
Starship Troopers: Invasion,2012,R,90 minutes,Action,,,,,,"$192,901"
Starsky & Hutch,2004,PG-13,101 minutes,Comedy,,,,Todd Phillips,"Ben Stiller,Owen Wilson,Snoop Dogg,Vince Vaughn,Juliette Lewis","$170,200,225"
The Stars My Destination,2017,,,Adventure,,,,Jordan Vogt-Roberts,,
Starship Troopers,1997,R,129 minutes,Action,,,,Paul Verhoeven,,"$121,100,000"
The Stars Fell on Henrietta,1995,PG,,Drama,,,,,,
Starry Eyes,2014,Not Rated,98 minutes,Horror,,,,Kevin Kolsch,Alexandra Essoe,
"Stars 80, la Suite",2017,,,Comedy,,,,Thomas Langmann,,
Stars and Bars,1988,,,Comedy,,,,,Daniel Day-Lewis,
Starquest: The Odyssey,2009,PG-13,,Action,,,,Jon Bonnell,"Adam Rini,Shane Stevens,Katherine Stewart,Aaron Ginn-Forsberg,James Ray,Davina Joy,Kevin Tye,Niko",
Starred Up,2014,Not Rated,106 minutes,Drama,,,,David Mackenzie,Jack O'Connell,"$117,996"
Starman,1984,,,Adventure,,,,John Carpenter,,
The Starling,2017,,,Drama,,,,Dome Karukoski,,
Starlet,2012,Not Rated,,Drama,,,,Sean Baker,Dree Hemingway,"$146,222"
Stargirl,2016,,,Romantic Comedy,,,,Catherine Hardwicke,,
Stargate - The Ark of Truth,2008,,,Action,,,,,,
Starfish,2016,,,Drama,,,,Bill Clark,,"$38,955"
Stargate - Continuum,2008,,,Action,,,,,"Ben Browder,Amanda Tapping,Christopher Judge",
Stardust Memories,1980,,,Comedy,,,,Woody Allen,Woody Allen,
Stargate,1994,PG-13,121 minutes,Action,,,,Roland Emmerich,"Kurt Russell,James Spader","$196,565,669"
Stardom,2000,R,,,,,,,,
Starcrash,1978,,92 minutes,Adventure,,,,Luigi Cozzi,"Caroline Munro,Marjoe Gortner,Joe Spinell",
Stardust,2007,PG-13,128 minutes,Adventure,,,,Matthew Vaughn,"Claire Danes,Michelle Pfeiffer,Robert De Niro,Charlie Cox,Sienna Miller","$137,022,245"
Starcrossed,2016,Not Rated,82 minutes,Drama,,,,Chase Mohseni,"Grant Harvey,Mischa Barton",
Starchaser: The Legend of Orin,1985,,,Adventure,,,,,,
Starbuck,2011,R,109 minutes,Comedy,,,,Ken Scott,Patrick Huard,"$6,824,619"
Star Worlds Episode XXXIVE=MC2: The Force Awakens The Last Jedi Who Went Rogue,2017,,,Comedy,,,,Jason Friedberg,,
Star Wars: The Clone Wars,2008,PG,98 minutes,Adventure,,,,Dave Filoni,"Matt Lanter,Ashley Eckstein,James Arnold Taylor","$68,695,443"
Star Wars: Ep. IX,2019,,,Action,,,,J.J. Abrams,,
Star Wars Ep. VI: Return of the Jedi,1983,PG,133 minutes,Adventure,,,,Richard Marquand,"Mark Hamill,Harrison Ford,Carrie Fisher","$572,705,079"
Star Wars Ep. V: The Empire Strikes Back,1980,PG,124 minutes,Adventure,,,,Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher","$534,171,960"
Star Wars Ep. VIII: The Last Jedi,2017,PG-13,150 minutes,Adventure,,,,Rian Johnson,"Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,Anthony Daniels,Gwendoline Christie,Kelly Marie Tran,Benicio del Toro","$1,321,876,102"
Star Wars Ep. IV: A New Hope,1977,PG,119 minutes,Adventure,,,,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher","$786,598,007"
Star Wars Ep. III: Revenge of the Sith,2005,PG-13,139 minutes,Adventure,,,,George Lucas,"Ewan McGregor,Natalie Portman,Hayden Christensen","$848,998,877"
Star Wars Ep. II: Attack of the Clones,2002,PG,143 minutes,Adventure,,,,George Lucas,"Ewan McGregor,Natalie Portman,Hayden Christensen","$656,695,615"
Star Wars Ep. VII: The Force Awakens,2015,PG-13,136 minutes,Adventure,,,,J.J. Abrams,"Adam Driver,Daisy Ridley,John Boyega","$2,058,662,225"
Star Trek V: The Final Frontier,1989,PG,,Action,,,,,William Shatner,"$70,200,000"
Star Trek VI: The Undiscovered Country,1991,PG,,Action,,,,,,"$96,900,000"
Star Wars Ep. I: The Phantom Menace,1999,PG,133 minutes,Adventure,,,,George Lucas,"Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd","$1,027,044,677"
Star Trek: The Next Generation - The Best of Both Worlds,2013,,,Drama,,,,,,
Star Trek: The Motion Picture,1979,PG,,Adventure,,,,Robert Wise,William Shatner,"$139,000,000"
Star Trek: Nemesis,2002,PG-13,116 minutes,Adventure,,,,,,"$67,312,826"
Star Trek IV: The Voyage Home,1986,PG,122 minutes,Adventure,,,,Leonard Nimoy,William Shatner,"$133,000,000"
Star Trek III: The Search for Spock,1984,PG,,Adventure,,,,Leonard Nimoy,William Shatner,"$87,000,000"
Star Trek: Insurrection,1998,PG,,Adventure,,,,Jonathan Frakes,,"$117,800,000"
Star Trek II: The Wrath of Khan,1982,PG,,Adventure,,,,,William Shatner,"$95,800,000"
Star Trek Into Darkness,2013,PG-13,132 minutes,Adventure,,,,J.J. Abrams,"Benedict Cumberbatch,Chris Pine,Zachary Quinto,John Cho,Alice Eve,Simon Pegg,Zoe Saldana,Karl Urban","$467,381,584"
Star Trek: Generations,1994,PG,118 minutes,Adventure,,,,David Carson,,"$120,000,000"
Star Trek: First Contact,1996,PG-13,,Adventure,,,,Jonathan Frakes,,"$150,000,000"
Star Slammer,2017,,,,,,,Fred Olen Ray,,
Star Talk With Neil Degrasse Tyson,2015,,450 minutes,Documentary,,,,,,
Star Trek Beyond,2016,PG-13,122 minutes,Adventure,,,,Justin Lin,"John Cho,Simon Pegg,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,Anton Yelchin,Idris Elba,Sofia Boutella","$336,398,312"
Star Men,2015,,,Documentary,,,,Alison E. Rose,,"$6,947"
Star Maps,1997,R,,Comedy,,,,,,
The Star,2017,PG,86 minutes,Adventure,,,,Timothy Reckart,"Steven Yeun,Gina Rodriguez,Zachary Levi,Keegan-Michael Key,Kelly Clarkson,Patricia Heaton,Kristin Chenoweth,Tracy Morgan,Tyler Perry,Oprah Winfrey","$62,008,030"
Star Kid,1998,PG,,Adventure,,,,,,
Star Trek,2009,PG-13,125 minutes,Adventure,,,,J.J. Abrams,"Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,Simon Pegg,John Cho,Anton Yelchin","$385,680,446"
A Star is Born,1976,R,,,,,,Frank Pierson,,
A Star is Born,2018,R,140 minutes,Drama,,,,Bradley Cooper,Bradley Cooper,
A Star is Born,1954,,182 minutes,,,,,George Cukor,,
Star Crystal,2017,,,Horror,,,,Lance Lindsay,,
Star Crossed,2009,,,Drama,,,,Mark Heller,,
Stanley Cup 2014 Champions: Loa Angeles Kings,2014,,,Documentary,,,,,,
Star!,1968,G,176 minutes,,,,,Robert Wise,Julie Andrews,
Star 80,1983,,,Drama,,,,Bob Fosse,,
Stanley & Iris,1990,,,Drama,,,,Martin Ritt,Robert De Niro,
The Star Chamber,1983,,,Action,,,,Peter Hyams,Michael Douglas,
Standing Up,2013,,,Drama,,,,,"Chandler Canterbury,Annalise Basso",
Standoff,2016,R,86 minutes,Thriller/Suspense,,,,Adam Alleca,"Laurence Fishburne,Thomas Jane",
Standing Ovation,2010,PG,,,,,,,,
Standing Still,2006,R,,Drama,,,,,,
The Stanford Prison Experiment,2015,R,122 minutes,Drama,,,,Kyle Patrick Alvarez,"Billy Crudup,Michael Angarano,Ezra Miller,Tye Sheridan,Olivia Thirlby","$668,550"
Standing in the Shadows of Motown,2002,PG,,Documentary,,,,,,
Standing by Yourself,2002,Not Rated,,,,,,,,
Stander,2004,R,,Drama,,,,,,"$296,584"
Stand Your Ground,2013,PG-13,,Drama,,,,Michael McClendon,,
Standard Operating Procedure,2008,R,118 minutes,Documentary,,,,Errol Morris,,"$332,120"
A Stand Up Guy,2016,Not Rated,90 minutes,Comedy,,,,Mike Young,,
Stand Off,2013,R,89 minutes,Drama,,,,Terry George,"Brendan Fraser,Colm Meaney,David O Hara",
Stand By Me Doraemon,2014,,,Drama,,,,Ryuichi Yagi,,"$147,000,000"
Stand Clear of the Closing Doors,2014,Not Rated,100 minutes,Drama,,,,Sam Fleischner,"Andrea Suarez Paz,Jesus Sanchez-Velez",
Stand Up Guys,2013,R,95 minutes,Drama,,,,Fisher Stevens,"Al Pacino,Christopher Walken,Alan Arkin","$6,118,797"
Stand by Me,1986,R,,Drama,,,,Rob Reiner,,
Stalking Santa,2006,PG,82 minutes,Comedy,,,,,,
Stand and Deliver,1988,PG,103 minutes,Drama,,,,Ramon Mendendez,,
Stan Helsing: A Parody,2009,R,81 minutes,Comedy,,,,,,"$1,553,556"
Stalker,2010,R,,Horror,,,,Martin Kemp,,
Stalkher,2015,,,Thriller/Suspense,,,,John Jarrett,"John Jarrett,Kaarin Fairfax","$19,536"
Stalker,2017,Not Rated,163 minutes,Drama,,,,Andrei Tarkovsky,,"$285,044"
Stalingrad,2014,R,131 minutes,Drama,,,,Fedor Bondarchuk,"Mariya Smolnikova,Yanina Studilina,Petr Fedorov,Thomas Kretschmann,Sergey Bondarchuk,Dmitry Lisenkov,Andrey Smolyakov,Oleg Volku","$68,707,119"
Stakes,2015,,,Action,,,,Richard Owen,,"$1,115"
Stakeout,1987,R,,Comedy,,,,John Badham,Emilio Estevez,
The Staircase,1998,Not Rated,,Western,,,,Karen Arthur,,
Stagecoach: The Texas Jack Story,2016,Not Rated,90 minutes,Western,,,,Terry Miles,"Trace Adkins,Kim Coates,Judd Nelson",
Stagecoach to Dancersâ€™ Rock,1962,,,Western,,,,Earl Bellamy,"Warren Stevens,Martin Landau,Jody Lawrence,Judy Dan",
Stake Land 2,2017,,81 minutes,Horror,,,,Dan Berk,,"$18,565"
Stake Land,2011,R,98 minutes,Horror,,,,Jim Mickle,"Nick Damici,Connor Paolo","$679,482"
Stage V,2016,,,Action,,,,Buddy Calvo,,
Stage Russia: The Cherry Orchard,2017,,,Concert/Performance,,,,,,"$11,414"
Stage Russia: Anna Karenina,2017,,,Concert/Performance,,,,,,"$9,868"
Stage Russia: Eugene Onegin,2017,,198 minutes,Concert/Performance,,,,,,"$6,093"
Stage Beauty,2004,R,,Drama,,,,,,
Stage Fright,2014,R,88 minutes,Horror,,,,Jerome Sable,Allie MacDonald,
The Stag,2014,Not Rated,94 minutes,Comedy,,,,John Butler,"Andrew Scott,Amy Huberman,Peter McDonald",
Stag Night,2010,R,,Horror,,,,Peter A. Dowling,,
Stag,2013,R,85 minutes,Comedy,,,,Brett Heard,,
Stado,2016,,,Comedy,,,,Nikola Kojo,,"$18,015"
St. Louis Blues,1929,,16 minutes,Musical,,,,,,
