title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
Burying the Ex,2015,R,89 minutes,Black Comedy,,,,Joe Dante,"Anton Yelchin,Ashley Greene,Alexandra Daddario","$604,517"
Burtâ€™s Buzz,2014,Not Rated,88 minutes,Documentary,,,,Jody Shapiro,,
Burst Theory,2016,,,,,,,Zac Page,,
Burroughs: The Movie,2015,,,Documentary,,,,Howard Brookner,,
Burns,2011,,,Drama,,,,,,
The Burning Plain,2009,R,,Drama,,,,,"Charlize Theron,Kim Basinger","$1,167,092"
Burning Palms,2011,R,112 minutes,Black Comedy,,,,Christopher Landon,"Lake Bell,Robert Hoffman,Rosamund Pike,Zoe Saldana,Nick Stahl,Paz Vega",
Burning Bright,2010,PG-13,,Horror,,,,,Briana Evigan,
Burning Man,2011,,,Drama,,,,Jonathan Teplitzky,,"$13,879"
Burnt,2015,R,100 minutes,Comedy,,,,John Wells,Bradley Cooper,"$32,632,668"
Burning Blue,2014,R,,Drama,,,,D.M.W. Greer,,
Burning Bodhi,2016,R,93 minutes,Drama,,,,Matthew McDuffie,"Kaley Cuoco,Meghann Fahy,Cody Horn,Landon Liboiron,Sasha Pieterse,Eli Vargas,Virginia Madsen",
The Burning Bed,2017,Not Rated,,,,,,Robert Greenwald,,
My Tiny Universe,2004,,,Romantic Comedy,,,,Lucy Phillips,"John Heard,Lesley Ann Warren,Andy Comeau,Debi Mazar",
My Sweet Pepper Land,2013,,,Drama,,,,Hiner Saleem,,"$35,899"
My Tutor,1983,,,Comedy,,,,,,
My Teacher's Wife,1999,,,Romantic Comedy,,,,Bruce Leddy,,
My Summer of Love,2005,R,,Drama,,,,,,"$4,727,375"
Archie's Final Project,2010,,105 minutes,Drama,,,,David Lee Miller,"Gabrial Sunday,Brooke Nevin",
My Super Ex-Girlfriend,2006,PG-13,,Comedy,,,,Ivan Reitman,,"$60,772,856"
My Suicidal Sweetheart,2005,,,Drama,,,,,,
The Burrowers,2009,,,,,,,,,
My Stepmother Is an Alien,1988,PG-13,,Comedy,,,,Richard Benjamin,,
My Son the Fanatic,1999,R,,,,,,,,
My Soul to Take,2010,R,107 minutes,Horror,,,,Wes Craven,"Max Thieriot,Denzel Whitaker,Raul Esparza,Shareeka Epps,John Magaro,Zena Grey,Nick Lashaway,Paulina Olszynski","$16,727,470"
My Son,2013,R,,Drama,,,,,,
"My Son, My Son, What Have Ye Done?",2009,R,,,,,,Werner Herzog,,
Burning Annie,2007,,,Comedy,,,,,,
My Sexiest Year,2009,,,,,,,,Frankie Muniz,
Burn Your Maps,2017,PG-13,102 minutes,Adventure,,,,Jordan Roberts,,
Burn Site,2016,,,Thriller/Suspense,,,,Fernando Coimbra,,
My Sister's Keeper,2009,PG-13,109 minutes,Drama,,,,Nick Cassavetes,"Cameron Diaz,Abigail Breslin","$96,673,002"
Burn on the Bayou,2015,,,Documentary,,,,Matt Leonard,,
Burn Burn Burn,2015,,96 minutes,Drama,,,,Chanya Button,,"$19,923"
Burn Country,2016,Not Rated,102 minutes,Drama,,,,Ian Olds,"Dominic Rains,Melissa Leo,James Franco,Rachel Brosnahan,Thomas Jay Ryan",
Burlesque: Heart of the Glitter Tribe,2017,Not Rated,76 minutes,Documentary,,,,Jon Manning,,
Burn,2012,Not Rated,86 minutes,Documentary,,,,Tom Putnam,,
Burma VJ,2009,,,,,,,,,
Burn After Reading,2008,R,97 minutes,Black Comedy,,,,Joel Coen,"George Clooney,Frances McDormand,John Malkovich,Tilda Swinton,Brad Pitt","$168,167,798"
Burlesk King,2000,Not Rated,,Drama,,,,,,
Burke & Hare,2011,R,92 minutes,Black Comedy,,,,John Landis,"Simon Pegg,Andy Serkis","$1,507,806"
My Scientology Movie,2017,Not Rated,100 minutes,Documentary,,,,John Dower,,"$2,215,428"
Burlesque,2010,PG-13,116 minutes,Drama,,,,Steven Antin,"Cher,Christina Aguilera","$90,552,675"
My Sassy Girl,2008,PG-13,,Comedy,,,,Yann Samuell,,
My Science Project,1985,,,Comedy,,,,,,
My Reincarnation,2011,R,82 minutes,Documentary,,,,Jennifer Fox,,"$96,115"
My Pure Land,2017,,92 minutes,Drama,,,,Sarmad Masud,,"$19,599"
My Pet Dinosaur,2017,,98 minutes,Action,,,,Matt Drummond,,"$155,210"
My Perfect Romance,2017,PG,,Drama,,,,Justin G. Dyck,,
My Own Private Idaho,1991,R,,Black Comedy,,,,Gus Van Sant,Keanu Reeves,
My Perestroika,2011,Not Rated,87 minutes,Documentary,,,,Robin Hessman,,
My Own Love Song,2011,PG-13,,Romantic Comedy,,,,,,"$5,978"
My Other Home,2017,,110 minutes,Drama,,,,,,"$960,000"
My New Sassy Girl,2015,,99 minutes,Romantic Comedy,,,,Jo Geun-sik,,"$5,552,129"
My Old Lady,2014,PG-13,107 minutes,Comedy,,,,Israel Horovitz,"Kevin Kline,Kristin Scott Thomas,Maggie Smith","$7,527,232"
Buried Child,2015,,,Drama,,,,David Horn,,
My One and Only,2009,PG-13,85 minutes,Comedy,,,,Richard Loncraine,"RenÃ©e Zellweger,Logan Lerman,Kevin Bacon","$3,348,954"
Burichi Jigoku-Hen,2012,,,Action,,,,,,
The Burial,2018,,,,,,,,,
The Burial,2011,,,Drama,,,,,,
Buried,2010,R,94 minutes,Thriller/Suspense,,,,Rodrigo Cortes,Ryan Reynolds,"$21,270,290"
Burial Rights,2018,,,Drama,,,,Luca Guadagnino,Jennifer Lawrence,
The Burial Society,2004,R,,Thriller/Suspense,,,,,,
Burglar,1987,,,Comedy,,,,Hugh Wilson,Whoopi Goldberg,
Burden,2016,,,Drama,,,,Andrew Heckler,,
Bure baruta,1999,R,,Drama,,,,,,
Burden,2017,Not Rated,90 minutes,Documentary,,,,Richard Dewey,,"$20,434"
Buradeo,2017,,102 minutes,Comedy,,,,Chang You-jeong,,"$10,910,056"
The `Burbs,1989,PG,102 minutes,Comedy,,,,Joe Dante,Tom Hanks,
Bunyan & Babe,2017,PG,,Adventure,,,,Tony Bancroft,,
"Il buono, il brutto, il cattivo",1967,,177 minutes,Western,,,,Sergio Leone,Clint Eastwood,
"Buongiorno, notte",2005,Not Rated,,Drama,,,,,,
My New Partner,1985,,,,,,,,,
My Name is Water,2014,,,,,,,Justin Arana,,
My Name is Tanyusha,2015,,,Adventure,,,,Harry Oram,,
My Name is Lenny,2017,,91 minutes,Drama,,,,Ron Scalpello,,$436
My Name is David,2015,Not Rated,,Drama,,,,Chris Gallego Wong,,
My Name is Khan,2010,PG-13,161 minutes,Drama,,,,,,"$42,355,526"
My Name is Joe,1999,R,,,,,,Ken Loach,,
My Name Is Emily,2017,Not Rated,94 minutes,Drama,,,,Simon Fitzmaurice,Evanna Lynch,"$14,993"
My Mother's Smile,2005,Not Rated,,Drama,,,,,,
My Name is Bruce,2008,R,,Horror,,,,Bruce Campbell,Bruce Campbell,
My Mother Likes Women,2004,Not Rated,,Comedy,,,,,,
My Mom's New Boyfriend,2008,PG-13,,Comedy,,,,,Meg Ryan,"$3,161,218"
My Many Sons,2016,,,Drama,,,,Ralph E. Portillo,,
My Mexican Shivah,2008,Not Rated,,Comedy,,,,,,
My Mistress,2015,,104 minutes,Drama,,,,Stephen Lance,,"$6,921"
Bunteu,2007,,,,,,,,,"$2,217,531"
Bunraku,2011,R,118 minutes,Action,,,,Guy Moshe,"Josh Hartnett,Woody Harrelson,Gackt,Ron Perlman,Demi Moore",
Bunty Aur Babli,2005,Not Rated,,Adventure,,,,,,"$7,876,721"
Bungaeman,2015,,72 minutes,Action,,,,,,"$428,219"
Bunker77,2017,Not Rated,90 minutes,Documentary,,,,Takuji Masuda,,
Bundy: A Legacy of Evil,2009,,,Drama,,,,,,
Bunch of Kunst,2017,,103 minutes,Documentary,,,,Christine Franz,,"$29,409"
Bundle of Joy,2010,,98 minutes,,,,,Norman Taurog,"Eddie Fisher,Debbie Reynolds",
A Bunch of Amateurs,2009,,,,,,,,,
Bumblebee,2018,,,Action,,,,Travis Knight,,
Bumchoiwaui junjaeng,2011,,134 minutes,Thriller/Suspense,,,,,,"$27,482,633"
Bullyparade: Der Film,2017,,100 minutes,Comedy,,,,Michael Bully Herbig,,"$4,789,214"
Bulworth,1998,R,,Comedy,,,,Warren Beatty,Warren Beatty,"$29,203,383"
Bullseye,1990,R,95 minutes,Comedy,,,,Michael Winner,"Michael Caine,Roger Moore,Sally Kirkland",
Bully,2001,R,99 minutes,Drama,,,,,,"$1,381,824"
My Man is a Loser,2014,R,95 minutes,Comedy,,,,Mike Young,"Michael Rapaport,Bryan Callen,John Stamos,Tika Sumpter",
Bully,2012,PG-13,94 minutes,Documentary,,,,Lee Hirsch,,
My Man Adam,1985,,,Comedy,,,,,,
My Love,2007,,,,,,,,,"$2,264,968"
"My Love, Don't Cross That River",2016,Not Rated,86 minutes,Documentary,,,,Jin Mo-young,,
My Little Pony Equestria Girls: Rainbow Rocks,2014,,73 minutes,Adventure,,,,,,
My Little Pony: The Movie,1986,,,Adventure,,,,,,
My Little Pony Equestria Girls: Friendship Games,2015,Not Rated,,Adventure,,,,Ishi Rudell,,"$194,807"
My Little Pony: Equestria Girls,2013,,70 minutes,Adventure,,,,,Ashleigh Ball,"$210,172"
My Little Pony: The Movie,2017,PG,99 minutes,Adventure,,,,Jayson Thiessen,"Emily Blunt,Kristin Chenoweth,Liev Schreiber,Michael PeÃ±a,Sia Furler,Taye Diggs,Uzo Aduba,Zoe Saldana","$55,573,525"
My Life Without Me,2003,R,,,,,,,,"$12,267,275"
My Life So Far,1999,PG-13,,Drama,,,,Hugh Hudson,,
My Life in Ruins,2009,PG-13,95 minutes,Romantic Comedy,,,,Donald Petrie,,"$20,477,425"
Bullies,1986,,,Action,,,,,,
Bullrider,2006,,,Documentary,,,,,,
Bullitt,1968,M/PG,114 minutes,Action,,,,Peter Yates,Steve McQueen,
Bullets Over Broadway,1994,R,,Comedy,,,,Woody Allen,John Cusack,
Bulletproof,1988,,,Action,,,,,,
El Bulli: Cooking in Progress,2011,Not Rated,108 minutes,Documentary,,,,Gereon Wetzel,,"$595,934"
Bulletproof Monk,2003,PG-13,,Action,,,,Paul Hunter,"Chow Yun-Fat,Seann William Scott",
Bulletproof,1996,R,85 minutes,Action,,,,Ernest Dickerson,"Damon Wayans,Adam Sandler","$22,230,840"
Bullet Head,2017,R,93 minutes,Thriller/Suspense,,,,Paul Solet,,"$87,465"
Bulldog Drummond Escapes,1937,,67 minutes,Drama,,,,,,
Bulldog Drummond Comes Back,1937,,64 minutes,Drama,,,,,,
Bulanti,2015,,,Drama,,,,Zeki Demirkubuz,,
Bull Durham,1988,R,108 minutes,Drama,,,,Ron Shelton,"Kevin Costner,Susan Sarandon",
Bulandi,2000,Not Rated,,Drama,,,,,,
Bullet to the Head,2013,R,91 minutes,Action,,,,Walter Hill,"Sylvester Stallone,Sung Kang,Sarah Shahi,Jason Momoa","$22,597,969"
Bukowski: Born Into This,2004,R,,Documentary,,,,,,
My Life Directed by Nicolas Winding Refn,2015,PG-13,59 minutes,Documentary,,,,Liv Corfixen,,
My Life as Abraham Lincoln,2012,,91 minutes,Comedy,,,,Shari Berman,Caroline Luft,
My Life,1993,PG-13,,Drama,,,,,Nicole Kidman,
My Last Day Without You,2013,Not Rated,90 minutes,Romantic Comedy,,,,Stefan C. Schaefer,"Ken Duken,Nicole Beharie",
My Left Foot: The Story of Christy Brown,1989,R,,Drama,,,,Jim Sheridan,Daniel Day-Lewis,
My King My Father,2017,,84 minutes,Adventure,,,,,,"$2,010,000"
My Kingdom,2002,Not Rated,,,,,,,,
My Kid Could Paint That,2007,PG-13,,Documentary,,,,,,
My Heroes Have Always Been Cowboys,1991,PG,,Drama,,,,Stuart Rosenberg,,
My iz budushego,2008,,,Adventure,,,,,,"$8,623,914"
My Girlfriend's Boyfriend,2010,PG,,,,,,,,
My Girlfriend's Back,2010,PG-13,,Romantic Comedy,,,,,,
My Girl 2,1994,PG,,Comedy,,,,Howard Zieff,,
Building Star Trek,2016,,,,,,,,,
