id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
28379,The Republic of Rick,2014,Not Rated,80 minutes,Comedy,,,,Mario Kyprianou,Dave Abed,
28380,Requiem,2006,Not Rated,,,,,,,,"$1,531,921"
28381,Reprise,2008,R,,Drama,,,,,,"$1,162,184"
28382,Requiem for a Dream,2000,Open,,Drama,,,,Darren Aronofsky,,"$7,389,233"
28383,Repo! The Genetic Opera,2008,R,,Musical,,,,Darren Lynn Bousman,Alexa Vega,"$198,883"
28384,Repo Men,2010,R,111 minutes,Action,,,,,"Jude Law,Forest Whitaker","$18,195,238"
28385,Repo Man,1984,,,Comedy,,,,,Emilio Estevez,
28386,Replicas,2018,PG-13,,Thriller/Suspense,,,,Jeffrey Nachmanoff,Keanu Reeves,
28387,Replicas,2012,Not Rated,98 minutes,Thriller/Suspense,,,,Jeremy Power Regimbal,"Selma Blair,Joshua Close,Quinn Lord",
28388,Telstar: The Joe Meek Story,2012,R,119 minutes,Drama,,,,,,
28389,El telÃ³n de azÃºcar,2007,Not Rated,,Documentary,,,,,,
28390,The Telling,2009,R,,,,,,,,
28391,Les TÃ©moins,2008,Not Rated,,Drama,,,,,,
28392,Telling Lies in America,1997,,,,,,,Guy Ferland,,
28393,"Telle mÃ¨re, telle fille",2016,,,Comedy,,,,NoÃ©mie Saglio,,"$53,718"
28394,Tell-Tale,2009,R,,Horror,,,,,Josh Lucas,
28395,Tell Me Something,2001,R,,,,,,,,
28396,Tell Them Who You Are,2005,R,,Documentary,,,,,,
28397,Tell,2014,R,,Action,,,,J.M.R. Luna,,
28398,Tell Me How I Die,2016,Not Rated,107 minutes,Thriller/Suspense,,,,D.J. Viola,,"$207,167"
28399,Tell Spring Not to Come This Year,2014,,,Documentary,,,,Saeed Taji,,"$4,021"
28400,The Telephone,1988,,,,,,,,Whoopi Goldberg,
28401,Telefon,1977,,,Action,,,,Don Siegel,,
28402,What a Way to Go!,1964,,,,,,,,Paul Newman,
28403,What a Wonderful Family!,2017,,103 minutes,Comedy,,,,Huang Lei,,"$4,681,992"
28404,What an Idiot,2016,,,Romantic Comedy,,,,Peter Benson,,
28405,What About Bob?,1991,PG,,Comedy,,,,Frank Oz,Bill Murray,
28406,What a Man,2012,R,94 minutes,Romantic Comedy,,,,Matthias Schweighofer,"Matthias Schweighofer,Sibel Kekilli","$11,639,918"
28407,What Alice Found,2003,R,,Drama,,,,,,
28408,What a Girl Wants,2003,PG,105 minutes,Comedy,,,,Dennie Gordon,"Amanda Bynes,Colin Firth,Kelly Preston",
28409,The Whales of August,1987,,,Drama,,,,Lindsay Anderson,"Bette Davis,Lillian Gish,Vincent Price,Ann Sothern",
28410,Wexford Plaza,2017,Not Rated,80 minutes,Black Comedy,,,,Joyce Wong,Reid Asselstine,
28411,Whaledreamers,2008,Not Rated,,Documentary,,,,,,
28412,Replay,2011,,,Drama,,,,,,
28413,Weâ€™ve Forgotten More Than We Ever Knew,2017,Not Rated,,,,,,Thomas Woodrow,,
28414,Whale Rider,2003,PG-13,101 minutes,Drama,,,,,Keisha Castle-Hughes,"$39,374,600"
28415,The Whale,2011,G,85 minutes,Documentary,,,,Michael Parfit,,
28416,The Replacements,2000,PG-13,118 minutes,Comedy,,,,Howard Deutch,"Keanu Reeves,Gene Hackman,Orlando Jones,Jon Favreau,Brooke Langton,Rhys Ifans,Michael Taliferro,Ace Yonamine","$50,054,511"
28417,The Replacement Killers,1998,R,87 minutes,Action,,,,Antoine Fuqua,,
28418,The Rep,2012,,,Documentary,,,,Morgan White,,
28419,Repatriation,2017,Not Rated,77 minutes,Drama,,,,Douglas Mueller,Ryan Barton-Grimley,
28420,Reparation,2016,Not Rated,105 minutes,Drama,,,,Kyle Ham,"Jon Huertas,Marc Menchaca",
28421,RÃ©parer les vivants,2017,Not Rated,104 minutes,Drama,,,,Katell Quillevere,"Tahar Rahim,Emmanuelle Seigner,Anne Dorval","$18,554"
28422,Repentance,2014,R,93 minutes,Thriller/Suspense,,,,Philippe Caland,"Forest Whitaker,Anthony Mackie,Mike Epps",
28423,Reonningmaen,2012,,127 minutes,Action,,,,,,"$7,818,402"
28424,Rent-a-Kid,1995,,,,,,,,,
28425,Rent: Filmed Live on Broadway,2009,,,,,,,,,
28426,Tekkon Kinkreet,2007,R,111 minutes,Adventure,,,,,,
28427,Teknolust,2003,R,,,,,,,,
28428,Rent-A-Cop,1988,,,,,,,,,
28429,Tekken,2011,R,,Action,,,,Dwight H. Little,,
28430,Tehran Taboo,2018,Not Rated,90 minutes,Drama,,,,Ali Soozandeh,,
28431,Teeth and Blood,2015,,,Horror,,,,Al Franklin,,
28432,Renoir,2013,R,111 minutes,Drama,,,,Gilles Bourdos,"Michel Bouquet,Christa ThÃ©ret,Vincent Rottiers","$6,761,636"
28433,Rent,2005,PG-13,,Musical,,,,Chris Columbus,,"$31,670,620"
28434,Teenage Paparazzo,2010,,,Documentary,,,,Adrian Grenier,,
28435,Teesklejad,2016,,102 minutes,Thriller/Suspense,,,,Vallo Toomla,,"$3,508"
28436,Tees Maar Khan,2010,Not Rated,135 minutes,Comedy,,,,,,"$24,785,571"
28437,Teeth,2008,R,,Comedy,,,,,,"$2,350,641"
28438,Teenage Mutant Ninja Turtles III,1993,PG,,Adventure,,,,,,
28439,Wetonkawa Flash,2002,Not Rated,,Comedy,,,,,,
28440,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG,,Adventure,,,,,,
28441,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,112 minutes,Adventure,,,,David Green,"Megan Fox,Will Arnett","$245,623,848"
28442,Wetlands,2017,Not Rated,98 minutes,Thriller/Suspense,,,,Emanuele Della Valle,,"$2,080"
28443,Westworld,1973,,,Action,,,,Michael Crichton,,
28444,"Westwood: Punk, Icon, Activist",2018,,83 minutes,Documentary,,,,Lorna Tucker,,
28445,Wetherby,1985,,,Drama,,,,,,
28446,Wetlands Preserved: The Story of an Activist Rock Club,2008,Not Rated,,Documentary,,,,,,
28447,Wet Bum,2015,,98 minutes,Drama,,,,,Julia Sarah Stone,
28448,Wet Hot American Summer,2001,R,97 minutes,Comedy,,,,David Wain,"Janeane Garofalo,David Hyde Pierce,Molly Shannon,Paul Rudd,Christopher Meloni,Michael Showalter,Marguerite Moreau,Ken Marino,Michael Ian Black,Zak Orth,A.D. Miles,Amy Poehler",
28449,Westminster Wife Show,2009,,,,,,,,,
28450,Westfront 1918: Vier von der Infanterie,1931,,96 minutes,Horror,,,,G.W. Pabst,,
28451,Westbrick Murders,2010,R,,,,,,,,
28452,Western Union,1941,,90 minutes,Western,,,,Fritz Lang,,
28453,Reno: Rebel Without a Pause,2003,,,,,,,,,
28454,Western,1998,,,,,,,,,
28455,Western Religion,2015,Not Rated,105 minutes,Western,,,,James O'Brien,"Claude Duhamel,Louie Sabatasso,Miles Szanto,James Anthony Cotton,Gary Douglas Kohn,Holiday Hadley,Sean Joyce,Peter Shinkoda",
28456,Western,2018,,100 minutes,Drama,,,,Valeska Grisebach,,
28457,Renesse,2016,,80 minutes,Comedy,,,,Willem Gerritsen,,"$488,113"
28458,Renegades,2017,PG-13,105 minutes,Action,,,,Steven Quale,,"$626,148"
28459,The Rendezvous,2015,PG-13,,Action,,,,Amin Matalqa,,
28460,Renegades,1989,,,Action,,,,,,
28461,Rendel: Dark Vengeance,2018,,108 minutes,Action,,,,Jesse Haaja,,
28462,Reno 911!: Miami,2007,R,80 minutes,Comedy,,,,,"Carlos Alazraqui,Mary Birdsong,Robert Ben Garant,Kerri Kenney-Silver,Thomas Lennon,Wendi McLendon-Covey,Niecy Nash,Cedric Yarbrough","$21,851,362"
28463,Rendition,2007,R,122 minutes,Thriller/Suspense,,,,Gavin Hood,"Jake Gyllenhaal,Reese Witherspoon,Alan Arkin,Peter Sarsgaard,Omar Metwally","$26,939,925"
28464,Le renard et l'enfant,2008,,,Drama,,,,,Kate Winslet,"$19,317,689"
28465,Renaldo and Clara,1977,,,,,,,Bob Dylan,"Bob Dylan,Sara Dylan",
28466,Renaissance Man,1994,PG-13,128 minutes,Comedy,,,,Penny Marshall,Danny De Vito,
28467,Renaissance,2006,R,105 minutes,Action,,,,,,"$2,401,413"
28468,Removal,2012,R,,,,,,,,
28469,Ren zai jiong tu zhi tai jiong,2013,,,Comedy,,,,Xu Zheng,,"$205,400,000"
28470,Teenage Cocktail,2018,,89 minutes,Drama,,,,John Carchietta,,
28471,Teenage Mutant Ninja Turtles,1990,PG,93 minutes,Adventure,,,,Steve Barron,Brian Tochi,"$202,000,000"
28472,TMNT,2007,PG,86 minutes,Action,,,,Kevin Munroe,"James Arnold Taylor,Nolan North,Mitchell Whitfield,Mikey Kelley","$96,096,018"
28473,Teenage Cavemen,2016,,,,,,,,,
28474,Teenage Bank Heist,2013,,,Thriller/Suspense,,,,Doug Campbell,,
28475,Teen Wolf Too,1987,,94 minutes,Comedy,,,,,,
28476,Teenage,2014,Not Rated,78 minutes,Documentary,,,,Matt Wolf,,
28477,Teen Witch,2006,,,Comedy,,,,Dorian Walker,,
28478,Teen Titans: The Judas Contract,2017,PG-13,,Action,,,,Sam Liu,,
28479,Teen Wolf,1985,,92 minutes,Comedy,,,,,Michael J. Fox,
28480,Teen Titans Go! To The Movies,2018,,92 minutes,Adventure,,,,,,
28481,West Side Story,1961,Not Rated,152 minutes,Musical,,,,Robert Wise,,
28482,West of the Jordan River,2018,Not Rated,84 minutes,Documentary,,,,Amos Gitai,,
28483,Werner - Eiskalt,2011,,,,,,,,,"$4,046,409"
28484,West of Memphis,2012,R,150 minutes,Documentary,,,,Amy Berg,,"$407,517"
28485,West Beirut,1999,Not Rated,,,,,,,,
28486,Werewolf: The Beast Among Us,2012,R,,Horror,,,,,,
28487,Wes Craven's Wishmaster,1997,R,,Horror,,,,Robert Kurtzman,,
28488,Werewolf Rising,2014,,,Horror,,,,BC Furtney,,
28489,Were the World Mine,2008,Not Rated,,Musical,,,,,Tanner Cohen,
28490,We're Talkin' Serous Money,1992,,,Comedy,,,,James Lemmo,,
28491,Remote Control,1930,,65 minutes,Comedy,,,,,,
28492,We're No Angels,1989,PG-13,,Comedy,,,,Neil Jordan,"Robert De Niro,Demi Moore",
28493,Remote Paradise,2017,,,,,,,Michael Feifer,,
28494,Wer,2014,R,,Horror,,,,William Brent Bell,,"$365,837"
28495,Remote Area Medical,2014,Not Rated,80 minutes,Documentary,,,,Jeff Reichert,,
28496,Remo Williams: The Adventure Begins,1985,,,Adventure,,,,Guy Hamilton,,
28497,We're the Millers,2013,R,100 minutes,Comedy,,,,Rawson Marshall Thurber,"Jennifer Aniston,Jason Sudeikis,Will Poulter,Emma Roberts","$267,816,276"
28498,Remnants,2013,,93 minutes,Action,,,,Tim Szczesniak,,
28499,Remo,2016,,150 minutes,Romantic Comedy,,,,Bakkiyara Kannan,,"$199,572"
28500,Rememory,2017,PG-13,111 minutes,Drama,,,,Mark Palansky,Peter Dinklage,"$69,194"
28501,"Remembering the Artist: Robert De Niro, Sr.",2013,,,Documentary,,,,Perri Peltz,,
28502,Remembering Nigel,2015,,,Comedy,,,,Frank Howson,,
28503,Remember You,2016,Not Rated,106 minutes,Drama,,,,Yoon-jung Lee,"Jung Woo-sung,Kim Ha-neul","$2,825,733"
28504,Remember the Night,1940,,91 minutes,Drama,,,,,,
28505,Remember the Daze,2008,R,,Comedy,,,,,"Amber Heard,Alexa Vega",
28506,Teen Lust,2015,R,80 minutes,Comedy,,,,Blaine Thurier,"Jesse Carere,Daryl Sabara,Annie Clark",
28507,Teen Maar,2011,,,,,,,,,"$11,459,148"
28508,Teen Patti,2010,Not Rated,,,,,,,,
28509,Remember the Titans,2000,PG,113 minutes,Drama,,,,Boaz Yakin,Denzel Washington,"$136,706,683"
28510,Remember the Goal,2016,PG,88 minutes,Drama,,,,Dave Christiano,"Allee Sutton Hethcoat,Quinn Alexis,Sydney Marks",
28511,Teen Beach Movie 2,2015,,,Musical,,,,Jeffrey Hornaday,"Maia Mitchell,Ross Lynch",
28512,TEDâ€™16 Dream: Opening Night in Cinemas,2016,,,Concert/Performance,,,,,,"$192,104"
28513,TED2016: Dream,2016,,,Documentary,,,,,,
28514,Teen Beach Movie,2013,,,Musical,,,,Jeffrey Hornaday,"Maia Mitchell,Ross Lynch",
28515,10 timer til paradis,2012,,93 minutes,Drama,,,,Mads Matthiesen,"Kim Kold,Lamaiporn Sangmanee Hougaard","$5,646"
28516,Ted SiegerÊ¼s Molly Monster - Der Kinofilm,2016,,,Adventure,,,,Matthias Bruhn,,"$9,392"
28517,Teddy Bears' Picnic,2002,R,,,,,,,,
28518,Ted 2,2015,R,115 minutes,Comedy,,,,Seth MacFarlane,"Mark Wahlberg,Seth MacFarlane","$217,214,143"
28519,Teatro Regio: Il Barbiere Di Siviglia,2015,,,Concert/Performance,,,,,,"$4,751"
28520,Went to Coney Island on a Mission from Godâ€¦,2000,Not Rated,,,,,,,,
28521,Went the Day Well?,1944,Not Rated,92 minutes,Thriller/Suspense,,,,Alberto Cavalcanti,Leslie Banks,
28522,Wendy 2 - Freundschaft fÃ¼r Immer,2017,,,Comedy,,,,Hanno Olderdissen,,"$3,236,506"
28523,Wendy and Lucy,2008,R,,Drama,,,,,,"$1,416,046"
28524,Wendy,2016,,,Adventure,,,,Dagmar Seume,,"$5,034,128"
28525,Ted,2012,R,106 minutes,Adventure,,,,Seth MacFarlane,"Mark Wahlberg,Seth MacFarlane","$556,016,627"
28526,Wendigo,2002,R,,,,,,,,
28527,The Wendell Baker Story,2007,PG-13,,Comedy,,,,Luke Wilson,,
28528,Die Welle,2011,,107 minutes,Drama,,,,Dennis Gansel,Jurgen Vogel,"$35,122,948"
28529,The Well,2000,Not Rated,,,,,,,,
28530,We'll Never Have Paris,2015,R,91 minutes,Romantic Comedy,,,,Simon Helberg,"Simon Helberg,Melanie Lynskey",
28531,Welcome to Woop-Woop,1998,,,,,,,,,
28532,Wen Tian,2011,,,,,,,,,"$6,301,200"
28533,Welp,2015,,,Adventure,,,,Jonas Govaerts,,
28534,Remember Sunday,2013,,,Drama,,,,Jeff Bleckner,,
28535,Welcome to Willits: After Sundown,2017,Not Rated,82 minutes,Horror,,,,Trevor Ryan,,
28536,"Remember Me, My Love",2004,Not Rated,,Comedy,,,,Gabriele Muccino,Monica Bellucci,
28537,Remember Me,2017,Not Rated,83 minutes,Comedy,,,,Steve Goldbloom,"Steve Goldbloom,Joel Kelley Dauten,Rita Moreno",
28538,Rembrant,2001,Not Rated,,,,,,,,
28539,Remember Baghdad,2016,,69 minutes,Documentary,,,,Fiona Murphy,,"$6,677"
28540,Remember,2015,R,95 minutes,Thriller/Suspense,,,,Atom Egoyan,Christopher Plummer,"$1,526,013"
28541,Remember Me,2010,PG-13,113 minutes,Drama,,,,,"Robert Pattinson,Emilie de Ravin","$56,506,120"
28542,A Remarkable Life,2016,R,96 minutes,Drama,,,,Vohn Regensburger,"Marie Avgeropoulos,Chris Bruno,Daphne Zuniga,John O'Hurley,Helen Slater",
28543,The Remake,2015,PG-13,,Comedy,,,,Lynne Alana Delaney,,
28544,Remarkable Power,2009,R,,,,,,,,
28545,The Remains,2016,Not Rated,93 minutes,Horror,,,,Thomas Della Bella,Todd Lowe,
28546,The Remains of the Day,1993,PG,,Drama,,,,James Ivory,,"$63,954,968"
28547,The Remaining,2014,PG-13,83 minutes,Horror,,,,Casey La Scala,,
28548,Teatro Dell'Opera: La Traviata,2017,,,Concert/Performance,,,,,,"$60,233"
28549,Teatro Communale: La Boheme,2017,,,Concert/Performance,,,,,,"$4,337"
28550,Teatro alla scala il tempio delle meraviglie,2015,,96 minutes,Documentary,,,,,,"$46,746"
28551,Team Hotwheels: The Orgin of Awesome,2014,,78 minutes,Adventure,,,,Matt Danner,,
28552,Tears of Gaza,2012,,85 minutes,Documentary,,,,Vibeke Lokkeberg,,
28553,Teaching Mrs. Tingle,1999,PG-13,,Comedy,,,,Kevin Williamson,,
28554,Teacher's Pet: The Movie,2004,PG,74 minutes,Adventure,,,,,,
28555,Team America: World Police,2004,R,,Comedy,,,,Trey Parker,,"$50,948,811"
28556,Tears of the Sun,2003,R,109 minutes,Action,,,,Antoine Fuqua,"Bruce Willis,Monica Bellucci","$85,632,458"
28557,Teachers,1984,,,Drama,,,,Arthur Hiller,,
28558,A Teacher,2013,Not Rated,77 minutes,Drama,,,,Hannah Fidell,"Lindsay Burdge,Will Brittain",
28559,Welcome to the Rileys,2010,R,110 minutes,Drama,,,,Jake Scott,"James Gandolfini,Melissa Leo,Kristen Stewart","$355,919"
28560,Welcome to Suck City,2011,R,,,,,,,,
28561,Welcome to Sarajevo,1997,R,,,,,,Michael Winterbottom,,
28562,Welcome to the Punch,2013,R,99 minutes,Thriller/Suspense,,,,Eran Creevy,"James MacAvoy,Mark Strong","$4,207,102"
28563,Welcome to the Dollhouse,1996,R,,Comedy,,,,Todd Solondz,,"$5,034,794"
28564,Welcome to the Jungle,2014,Not Rated,95 minutes,Comedy,,,,Rob Meltzer,"Adam Brody,Jean-Claude Van Damme,Rob Huebel,Kristen Schaal,Megan Boone,Dennis Haysbert,Aaron Takahashi",
28565,Welcome to Pine Hill,2013,Not Rated,81 minutes,Drama,,,,Keith Miller,,
28566,Welcome to New York,2017,,118 minutes,Comedy,,,,Chakri Toleti,,"$100,300"
28567,Remainder,2016,,,Drama,,,,Omer Fast,,"$41,432"
28568,Welcome to Happiness,2016,PG-13,109 minutes,Comedy,,,,Oliver Thompson,Kyle Gallner,
28569,Welcome to New York,2015,R,108 minutes,Drama,,,,Abel Ferrara,"Gerard Depardieu,Jacqueline Bisset","$27,866"
28570,Welcome to Mooseport,2004,PG-13,,Comedy,,,,Donald Petrie,,
28571,The Reluctant Fundamentalist,2013,R,128 minutes,Drama,,,,Mira Nair,"Riz Ahmed,Kate Hudson,Liev Schreiber,Kiefer Sutherland",
28572,Welcome to Me,2015,R,86 minutes,Comedy,,,,Shira Piven,"Kristen Wiig,Wes Bentley,Linda Cardellini,Joan Cusack,Loretta Devine,Jennifer Jason Leigh,James Marsden,Tim Robbins,Alan Tudyk","$629,886"
28573,Welcome to Leith,2015,Not Rated,86 minutes,Documentary,,,,Michael Beach Nichols,,"$36,391"
28574,Religulous,2008,R,101 minutes,Documentary,,,,Larry Charles,Bill Maher,"$13,881,317"
28575,RelÃ¨ve: Histoire d'une crÃ©ation,2017,Not Rated,110 minutes,Documentary,,,,Thierry Demaiziere,,
28576,The Relic,1997,R,,Horror,,,,Peter Hyams,,
28577,Relentless,1989,,,Thriller/Suspense,,,,,Judd Nelson,
28578,Relentless,2015,,95 minutes,Thriller/Suspense,,,,Lance Tracy,,
28579,Relaxâ€¦ It's Just Sex,1999,,,,,,,,,
28580,Die RelativitÃ¤tstheorie der Liebe,2011,,,Comedy,,,,,,"$1,397,899"
28581,Relatos salvajes,2015,R,115 minutes,Comedy,,,,Damian Szifron,"Ricardo Darin,Oscar Martinez,Leonardo Sbaraglia,Erica Rivas,Rita Cortese,Julieta Zylberberg,Dario Grandinetti","$27,007,072"
28582,Tea Pets,2017,,98 minutes,Adventure,,,,Gary Wang,,"$4,010,000"
28583,Te shu shen fen,2014,R,99 minutes,Action,,,,Clarence Fok Yiu-leung,"Donnie Yen,Jing Tian,Zhang Hanyu","$25,040,000"
28584,Tazza: The High Rollers,2006,,,,,,,,,"$15,732,936"
28585,"Tbilisi, I Love You",2013,,93 minutes,Drama,,,,,,
28586,Te3n,2016,Not Rated,133 minutes,Thriller/Suspense,,,,Ribhu Dasgupta,"Amitabh Bachchan,Vidya Balan,Nawazuddin Siddiqui","$436,407"
28587,Te doy mis ojos,2006,Not Rated,109 minutes,Drama,,,,,,
28588,Te Ata,2017,PG,105 minutes,Drama,,,,Nathan Frankowski,"Q'Orianka Kilcher,Gil Birmingham",
28589,Tchoupitoulas,2012,Not Rated,80 minutes,Documentary,,,,Bill Ross,,
28590,Taxman,1999,,,Comedy,,,,,,
28591,Welcome the Stranger,2018,R,,,,,,Justin Kelly,,
28592,Taxidermia,2009,Not Rated,91 minutes,Comedy,,,,,,
28593,Welcome Stranger,1947,,107 minutes,,,,,,,
28594,Welcome to Collinwood,2002,R,,,,,,,,"$4,606,284"
28595,"Welcome Home, Roxy Carmichael",1990,PG-13,,Drama,,,,Jim Abrahams,Winona Ryder,
28596,Welcome to Dongmakgol,2005,,133 minutes,,,,,,,"$48,000,000"
28597,Welcome Home Roscoe Jenkins,2008,PG-13,114 minutes,Comedy,,,,Malcolm D. Lee,Martin Lawrence,"$43,607,627"
28598,Welcome Home,2017,R,,Thriller/Suspense,,,,George Ratliff,,
28599,Welcome Back Mr. McDonald,1999,,,,,,,,,
28600,Welcome Home,1989,,,Drama,,,,,,
28601,Welcome,2010,Not Rated,110 minutes,Drama,,,,,,"$4,316,974"
28602,Relative Strangers,2006,PG-13,86 minutes,Comedy,,,,,,
28603,Welcome,2007,,,Comedy,,,,,,"$27,280,000"
28604,Welcome Back,2015,Not Rated,152 minutes,Comedy,,,,Anees Bazmee,"John Abraham,Anil Kapoor,Nana Patekar,Paresh Rawal","$2,010,478"
28605,Rekka,2016,,141 minutes,Action,,,,Rathina Shiva,,"$2,179"
28606,Rejsen til Saturn,2008,Not Rated,90 minutes,Adventure,,,,,,"$5,377,665"
28607,"Rejoice, Give Thanks, and Sing - 100th St. Olaf Christmas Festival Live",2011,,,Concert/Performance,,,,,,
28608,Reis,2016,,118 minutes,Drama,,,,Hudaverdi Yavuz,,"$552,175"
28609,Rejoice and Shout,2011,PG,115 minutes,Documentary,,,,Don McGlynn,,
28610,The Reivers,2015,PG-13,106 minutes,Comedy,,,,Mark Rydell,,
28611,Reisen til julestjernen,2012,G,80 minutes,Adventure,,,,Nils Gaup,,"$7,354,318"
28612,Between Calm and Passion,2001,,125 minutes,Drama,,,,Isamu Nakae,,"$325,828"
28613,La Reine Margot,1994,R,,Drama,,,,Patrice Chereau,,
28614,Reincarnated,2013,Not Rated,96 minutes,Documentary,,,,Andy Capper,,
28615,Reinas,2006,R,,Comedy,,,,,,
28616,Reindeer Games,2000,R,104 minutes,Action,,,,John Frankenheimer,"Ben Affleck,Charlize Theron",
28617,La Reina de EspaÃ±a,2017,,128 minutes,Drama,,,,Fernando Trueba,,"$1,198,038"
28618,Taxi Driver,1976,R,113 minutes,Drama,,,,Martin Scorsese,Robert De Niro,"$28,316,211"
28619,Taxi Number 9211,2006,Not Rated,,Drama,,,,,,
28620,Taxi to the Dark Side,2008,R,,Documentary,,,,Alex Gibney,,"$304,472"
28621,Reign Over Me,2007,R,124 minutes,Drama,,,,Mike Binder,"Adam Sandler,Don Cheadle","$20,081,987"
28622,Taxi 4,2007,,,,,,,,,"$60,865,364"
28623,Taxi 3,2003,,,Action,,,,Gerard Krawczyk,,
28624,Taxi 2,2000,Not Rated,,Action,,,,Gerard Krawczyk,,
28625,Taxi 121,2016,,,Thriller/Suspense,,,,Dan Panek,,"$27,778"
28626,Taxi,1998,,,Action,,,,Gerard Pires,,
28627,Tawai: A Voice from the Forest,2017,,101 minutes,Documentary,,,,,,"$102,909"
28628,Taxi,2015,Not Rated,82 minutes,Documentary,,,,Jafar Panahi,,"$11,235,528"
28629,Tau ming chong,2007,,,Action,,,,,,
28630,The Tavern,2000,Not Rated,,,,,,,,
28631,Taxi,2004,PG-13,,Action,,,,Tim Story,,"$68,109,966"
28632,Tau,2017,R,,Thriller/Suspense,,,,Federico Dâ€™Alessandro,,
28633,The Weird Bride,2016,,,Horror,,,,,,"$560,000"
28634,Weird Science,1985,PG-13,94 minutes,Comedy,,,,John Hughes,"Anthony Michael Hall,Ilan Mitchell-Smith,Kelly LeBrock",
28635,The Weird World of Blowfly,2011,Not Rated,89 minutes,Documentary,,,,Jonathan Furmanski,,
28636,Weirdsville,2007,R,,Comedy,,,,,"Scott Speedman,Wes Bentley",
28637,Das Weisse Band: Eine deutsche Kindergeschichte,2009,R,145 minutes,Drama,,,,,,"$25,727,044"
28638,The Weight of Water,2002,R,,,,,,Kathryn Bigelow,,
28639,Weiner,2016,R,100 minutes,Documentary,,,,Josh Kriegman,,"$1,751,120"
28640,The Weight of Honor,2017,,,Documentary,,,,Stephanie Seldon Howard,,
28641,Weight,2016,,,Documentary,,,,Andrew Filippone Jr,,
28642,Weg van Jou,2017,,98 minutes,Romantic Comedy,,,,Jelle de Jonge,,"$1,834,249"
28643,Wei ai zhi jian ru jia jing,2014,PG-13,98 minutes,Comedy,,,,Wei Gu Chang,"Angelababy,Chen He","$45,331,734"
28644,Weekender,2013,Not Rated,90 minutes,Drama,,,,Karl Golden,"Jack O'Connell,Emily Barclay,Henry Lloyd-Hughes",
28645,Weepah Way for Now,2016,,,,,,,Stephen Pierce Ringer,,
28646,The Weekend,2000,Not Rated,,,,,,,,
28647,Reign of Fire,2002,PG-13,,Action,,,,Rob Bowman,Christian Bale,"$82,150,183"
28648,Reign of Assassins,2016,R,117 minutes,Action,,,,,,"$11,354,230"
28649,The Rehearsal,2016,,,Drama,,,,Alison Maclean,,"$51,111"
28650,Regular Show: The Movie,2015,,69 minutes,Adventure,,,,J.G. Quintel,,
28651,Regret to Inform,1999,,,,,,,,,
28652,El rei borni,2016,,87 minutes,Comedy,,,,Marc Crehuet,,"$41,543"
28653,Le rÃ¨gne de la beautÃ©,2016,Not Rated,102 minutes,Drama,,,,Denys Arcand,"Ã‰ric Bruneau,Melanie Thierry,Melanie Merkosky,Marie-Josee Croze,Mathieu Quesnel,Genevieve Boivin-Roussy,Magalie Lepine-Blondeau",
28654,Il regista di matrimoni,2008,,,Drama,,,,,,
28655,Regression,2015,R,106 minutes,Thriller/Suspense,,,,Alejandro AmenÃ¡bar,"Ethan Hawke,Emma Watson","$14,883,495"
28656,ReGeneration,2012,,,Documentary,,,,Phillip Montgomery,,
28657,Regeneration,1998,R,,,,,,Gillies MacKinnon,,"$225,519"
28658,Refusenik,2008,Not Rated,,Documentary,,,,,,
28659,Tattoo,1981,R,,,,,,,,
28660,Tatto Bar,2002,,,,,,,,,
28661,Regarding Henry,1991,PG-13,107 minutes,Drama,,,,Mike Nichols,"Harrison Ford,Annette Bening",
28662,La Region Salvaje,2017,Not Rated,100 minutes,Drama,,,,Amat Escalante,,"$57,773"
28663,TÃ¡tova volha,2017,,90 minutes,Comedy,,,,JiÅ™Ã­ VejdÄ›lek,,"$1,205,612"
28664,Tasuma: The Fighter,2004,,,,,,,,,
28665,TatlÄ±m TatlÄ±m,2016,,99 minutes,Comedy,,,,Yilmaz Erdogan,,"$2,439,361"
28666,TatlÄ± Åžeyler,2017,,90 minutes,Comedy,,,,Ugar Uludag,,"$35,649"
28667,A Taste of Romance,2011,,,Drama,,,,Lee Rose,,
28668,A Taste of Honey,2016,,,Drama,,,,Tony Richardson,,
28669,Taste of Cement,2016,,85 minutes,Documentary,,,,Ziad Kalthoum,,
28670,The Taste of Others,2001,R,,Romantic Comedy,,,,,,
28671,The Task,2010,R,,Horror,,,,,,
28672,"Tarzan, The Ape Man",1981,,,Action,,,,,,
28673,Tarzan,2015,PG,,Adventure,,,,Reinhard Klooss,,"$20,200,000"
28674,Tarzan and the Lost City,1998,PG,,Adventure,,,,,,
28675,Tashan,2008,Not Rated,,Action,,,,,,"$7,512,447"
28676,Weekend of a Champion,2013,Not Rated,93 minutes,Documentary,,,,Frank Simon,,"$10,110"
28677,Weekend at Bernie's II,1993,PG,97 minutes,Adventure,,,,,Andrew McCarthy,
28678,Weekend Pass,1984,R,,Comedy,,,,,,
28679,The Weekend Movie,2016,,,Comedy,,,,Sheridan De Myers,,"$5,983"
28680,Weekend at Bernie's,1989,PG-13,,Comedy,,,,Ted Kotcheff,Andrew McCarthy,
