id,title,year,mpaa,runtime,genres,star_rating,metascore_rating,description,director,stars,gross
2711,Mission: Impossible III,2006,PG-13,126 minutes,Action,,,,J.J. Abrams,Tom Cruise,"$397,501,348"
2712,Mission: Impossibleâ€”Rogue Nation,2015,PG-13,131 minutes,Action,,,,Christopher McQuarrie,Tom Cruise,"$700,868,363"
2713,Mission: Impossibleâ€”Fallout,2018,,,Action,,,,Christopher McQuarrie,Tom Cruise,
2714,Programming the Nation?,2011,,105 minutes,Documentary,,,,Jeff Warrick,,
2715,La proie,2013,R,,Thriller/Suspense,,,,,,"$1,327,670"
2716,The Program,2016,R,103 minutes,Drama,,,,Stephen Frears,Ben Foster,"$1,579,261"
2717,Mission: Impossible 2,2000,PG-13,126 minutes,Action,,,,John Woo,Tom Cruise,"$549,588,516"
2718,The Program,1993,R,,Action,,,,David S. Ward,,
2719,Mission: Impossibleâ€”Ghost Protocol,2011,PG-13,132 minutes,Action,,,,Brad Bird,"Tom Cruise,Paula Patton,Simon Pegg,Jeremy Renner,Michael Nyqvist,Lea Seydoux,Josh Holloway,Anil Kapoor,Vladimir Mashkov,Tom Wilkinson","$694,713,230"
2720,Il profumo della signora in nero,2016,,101 minutes,Thriller/Suspense,,,,Francesco Barilli,,
2721,Les Profs,2013,,88 minutes,Comedy,,,,,,"$31,090,977"
2722,Un Profil pour Deux,2017,,99 minutes,Romantic Comedy,,,,Stephane Robelin,,"$435,763"
2723,Les Profs 2,2015,,92 minutes,Comedy,,,,,,"$24,954,039"
2724,The Professor: Tai Chi's Journey West,2016,Not Rated,72 minutes,Documentary,,,,Barry Strugatz,,
2725,Il professor Cenerentolo,2015,,,Comedy,,,,Leonardo Pieraccioni,,"$5,818,350"
2726,Professione: reporter,1975,PG-13,,Drama,,,,,Jack Nicholson,
2727,Professor Marston & The Wonder Women,2017,R,108 minutes,Drama,,,,Angela Robinson,"Rebecca Hall,Luke Evans,Bella Heathcote","$1,908,425"
2728,The Professionals,1966,PG-13,,,,,,Richard Brooks,,
2729,Lumberjack Man,2014,R,,Black Comedy,,,,Josh Bear,,
2730,Lumea e a mea,2015,Not Rated,104 minutes,Drama,,,,Nicolae Constantin Tanase,,"$29,827"
2731,Lulu,2015,,,Concert/Performance,,,,William Kentridge,,"$140,915"
2732,Lullaby,2014,R,117 minutes,Drama,,,,Andrew Levitas,"Garrett Hedlund,Richard Jenkins,Jessica Brown Findlay,Anne Archer,Jennifer Hudson,Terrence Howard",
2733,Lullaby for Pi,2010,,,Drama,,,,Benoit Philippon,,
2734,Lullaby,2009,,,,,,,Darrell Roodt,,
