id,title,year,mpaa,runtime,genres,director,stars,gross
24499,Shrek the Musical,2013,-1,-1,Concert/Performance,-1,-1,-1
24500,Shrek the Halls,2008,-1,21 minutes,Adventure,-1,-1,-1
24501,Shreelancer,2017,-1,98 minutes,Drama,Sandeep Mohan,-1,"$6,682"
24502,Shrek the Third,2007,PG,92 minutes,Adventure,Chris Miller,"Mike Myers,Eddie Murphy,Cameron Diaz","$807,330,936"
24503,Shrek Forever After,2010,PG,93 minutes,Adventure,Mike Mitchell,"Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas","$756,244,673"
24504,Shrek,2001,PG,90 minutes,Adventure,Andrew Adamson,"Mike Myers,Eddie Murphy,Cameron Diaz","$491,812,794"
24505,Shredtopia,2015,Not Rated,45 minutes,Documentary,Shred Bots,-1,-1
24506,Shrek 2,2004,PG,92 minutes,Adventure,Andrew Adamson,"Mike Myers,Eddie Murphy,Cameron Diaz","$937,008,132"
24507,SHReD: The Story of Asher Bradshaw,2015,-1,-1,Documentary,Katherine Herndi,-1,-1
24508,Showtime,2002,PG-13,95 minutes,Comedy,Tom Dey,"Robert De Niro,Eddie Murphy","$78,948,765"
24509,The TV Set,2007,R,-1,Comedy,-1,Sigourney Weaver,-1
24510,Tutto Quello Che Vuoi,2017,-1,106 minutes,Comedy,Francesco Bruni,-1,"$1,186,141"
24511,Tutta la vita davanti,2008,-1,-1,Comedy,-1,-1,"$3,795,187"
24512,TutmayÄ±n Beni,2016,-1,-1,Comedy,Semra DÃ¼ndar,-1,"$46,255"
24513,Tuyade Hunshi,2008,Not Rated,-1,Drama,-1,-1,-1
24514,The Tuxedo,2002,PG-13,98 minutes,Action,Kevin Donovan,Jackie Chan,"$104,429,625"
24515,Tusk,2014,R,101 minutes,Horror,Kevin Smith,-1,"$1,857,688"
24516,Tuvalu,2000,Not Rated,-1,-1,-1,-1,-1
24517,Tusen ganger god natt,2014,Not Rated,111 minutes,Drama,Erik Poppe,"Juliette Binoche,Nikolaj Coster-Waldau","$1,820,504"
24518,Turtle Tale,2014,PG,-1,-1,Luc Campeau,-1,-1
24519,Showing Roots,2017,Not Rated,100 minutes,Comedy,Michael Wilson,-1,-1
24520,The Shower,2016,-1,-1,Black Comedy,-1,-1,-1
24521,Turtles Can Fly,2005,Not Rated,-1,Drama,-1,-1,"$1,080,367"
24522,Showrunners: The Art of Running a TV Show,2014,Not Rated,88 minutes,Documentary,Des Doyle,-1,-1
24523,Showgirls,1995,NC-17,-1,Drama,Paul Verhoeven,"Gina Gershon,Elizabeth Berkley","$37,750,754"
24524,Turtle: The Incredible Journey,2011,G,80 minutes,Documentary,Nick Stringer,-1,"$1,358,840"
24525,The Showdown,2009,PG-13,-1,-1,-1,-1,-1
24526,Showdown in Little Tokyo,1991,R,78 minutes,Action,Mark L. Lester,-1,-1
24527,Showdown in Manila,2018,Not Rated,86 minutes,Action,Mark Dacascos,"Alexander Nevsky,Mark Dacascos,Casper Van Dien,Cary-Hiroyuki Tagawa,Matthias Hues",-1
24528,Showboy,2004,Not Rated,-1,Comedy,-1,-1,-1
24529,Shower,2000,PG-13,92 minutes,Drama,-1,-1,-1
24530,Showdown at Williams Creek,1991,-1,-1,Western,-1,-1,-1
24531,The Show,2017,R,104 minutes,Drama,Giancarlo Esposito,-1,-1
24532,The Show,1995,R,-1,Documentary,Brian Robbins,-1,-1
24533,Turtle Beach,1992,-1,-1,-1,-1,-1,-1
24534,The Show of Shows,2015,-1,-1,Documentary,Benedikt Erlingsson,-1,"$13,834"
24535,The Turtle and the Sea,2017,-1,-1,-1,Marek Budzynski,-1,-1
24536,A Show of Force,1990,-1,-1,-1,Bruno Barreto,-1,-1
24537,Turtle Diary,1986,-1,-1,Drama,-1,-1,-1
24538,Turnt Up,2014,R,-1,-1,-1,-1,-1
24539,The Turning,2015,R,-1,-1,-1,-1,-1
24540,The Turning Point,1977,-1,-1,Drama,Herbert Ross,-1,-1
24541,"Show Must Go On, The",2007,-1,-1,-1,-1,-1,"$5,364,079"
24542,Turning Green,2005,R,85 minutes,Comedy,-1,-1,-1
24543,Turning Mecards W: Secret of Bandain,2017,-1,76 minutes,Action,-1,-1,"$150,950"
24544,Turning Mecards W: Resurrection of the Black Mirror,2016,-1,72 minutes,Adventure,-1,-1,"$2,776,936"
24545,Show Me Your Glory: The Movie,2012,-1,115 minutes,-1,-1,-1,-1
24546,Turner & Hooch,1989,PG,105 minutes,Comedy,Roger Spottiswoode,Tom Hanks,-1
24547,Show Me Love,1999,Not Rated,-1,-1,-1,-1,-1
24548,Show Me,2005,R,-1,Thriller/Suspense,-1,-1,-1
24549,Show Dogs,2018,PG,-1,Comedy,Raja Gosnell,Will Arnett,-1
24550,Shovel Buddies,2016,R,-1,Drama,Si and Ad,-1,-1
24551,Show Boat,1951,-1,107 minutes,-1,-1,-1,-1
24552,Show Business,2007,PG,-1,Documentary,-1,-1,-1
24553,Shout at the Devil,1976,-1,-1,-1,Peter R. Hunt,"Lee Marvin,Roger Moore,Barbara Parkins,Ian Holm,Rene Kolldehoff",-1
24554,Shout Gladi Gladi,2015,Not Rated,100 minutes,Documentary,Adam Friedman,-1,-1
24555,Shout,1991,PG-13,-1,Drama,-1,John Travolta,-1
24556,Should've Been Romeo,2012,-1,-1,Comedy,Marc Bennett,-1,-1
24557,Shou Hu Zhe Sen Lin,2013,PG,-1,Adventure,Xu Kerr,-1,-1
24558,Turned Out Nice Again,1941,Not Rated,81 minutes,-1,-1,-1,-1
24559,Turn It Up,2000,R,-1,Drama,-1,-1,-1
24560,Turn the River,2008,R,-1,Drama,-1,Famke Janssen,-1
24561,Turks & Caicos,2014,-1,-1,Action,David Hare,-1,-1
24562,Der Turm,2014,Not Rated,180 minutes,Drama,Christian Schwochow,"Jan Josef Liefers,Claudia Michelsen",-1
24563,Turn it Around: The Story of East Bay Punk,2017,Not Rated,-1,Documentary,Corbett Redford,-1,-1
24564,Turkey Shoot,2015,-1,-1,Action,Jon Hewitt,-1,-1
24565,Turkisch fur Anfanger,2012,-1,105 minutes,Romantic Comedy,-1,-1,"$23,256,073"
24566,Turkey Shoot,1983,-1,-1,Action,-1,-1,-1
24567,Shotgun Wedding,2011,-1,-1,Comedy,-1,-1,-1
24568,Turk 182!,1985,-1,-1,Comedy,-1,-1,-1
24569,Shotgun Stories,2007,PG-13,-1,Drama,-1,-1,"$284,174"
24570,Turbulence,1997,R,100 minutes,Thriller/Suspense,Robert Butler,-1,-1
24571,Turistas,2006,R,-1,Thriller/Suspense,John Stockwell,"Josh Duhamel,Melissa George,Olivia Wilde,Desmond Askew,Beau Garrett,Max Brown","$14,321,070"
24572,Turist,2014,R,118 minutes,Drama,Ruben Ostlund,"Johannes Kuhnke,Lisa Loven Kongsli,Vincent Wettergren,Clara Wettergren","$2,456,677"
24573,Shotgun Love,2017,-1,-1,Thriller/Suspense,-1,-1,-1
24574,Shotgun,2017,-1,-1,Multiple Genres,Hannah Marks,-1,-1
24575,A Shot in the Dark,1964,-1,102 minutes,Comedy,Blake Edwards,-1,-1
24576,Shot! The Psycho-Spiritual Mantra of Rock,2017,Not Rated,91 minutes,Documentary,Barnaby Clay,-1,"$18,288"
24577,Shot Caller,2017,R,121 minutes,Thriller/Suspense,Ric Roman Waugh,Nikolaj Coster-Waldau,"$2,812,238"
24578,Shortcut to Happiness,2007,PG-13,-1,Drama,Alec Baldwin,-1,-1
24579,Shot,2017,Not Rated,89 minutes,Drama,Jeremy Paul Kagan,-1,-1
24580,Short Time,1990,-1,97 minutes,Comedy,Gregg Champion,-1,-1
24581,Shortbus,2006,Not Rated,-1,Comedy,-1,-1,-1
24582,Turbo: A Power Rangers Movie,1997,PG,-1,Action,-1,-1,-1
24583,Shorts,2009,PG,89 minutes,Adventure,Robert Rodriguez,-1,"$29,870,801"
24584,The Turandot Project,2001,Not Rated,-1,-1,-1,-1,-1
24585,The Tunnel,2005,Not Rated,-1,Drama,-1,-1,-1
24586,Tune in Tomorrow,1990,-1,-1,-1,Jon Amiel,Keanu Reeves,-1
24587,Tupac Resurrection,2003,R,-1,Documentary,-1,-1,"$7,808,524"
24588,Tunnel,2016,Not Rated,127 minutes,Action,Seong-hoon Kim,Ha Jung-woo,"$52,958,095"
24589,Tumhari Sulu,2017,-1,140 minutes,Comedy,Suresh Triven,-1,"$5,211,922"
24590,Tumbleweeds,1999,PG-13,-1,Drama,-1,-1,"$1,788,168"
24591,Turbo,2013,PG,96 minutes,Adventure,David Soren,"Ryan Reynolds,Snoop Dogg,Maya Rudolph,Samuel L. Jackson,Ben Schwartz","$286,896,578"
24592,La tumba de los muertos vivientes,2013,Not Rated,85 minutes,Horror,Jesus Franco,-1,-1
24593,Tumbledown,2016,R,103 minutes,Romantic Comedy,Sean Mewshaw,"Rebecca Hall,Jason Sudeikis","$234,697"
24594,Tum Mile,2009,Not Rated,140 minutes,Drama,-1,-1,-1
24595,Short Stay,2016,Not Rated,61 minutes,Comedy,Ted Fendt,-1,-1
24596,Short Term 12,2013,R,96 minutes,Drama,Destin Daniel Cretton,"Brie Larson,John Gallagher, Jr.,Kaitlyn Dever,Rami Malek","$2,308,535"
24597,Short Skin - I dolori del giovane Edo,2015,Not Rated,86 minutes,Comedy,Duccio Chiarini,Matteo Creatini,-1
24598,Short Order,2008,-1,-1,Drama,-1,-1,-1
24599,Short Peace,2013,-1,-1,Action,Katsuhiro Otomo,-1,-1
24600,The Short Game,2013,PG,100 minutes,Documentary,Josh Greenbuam,-1,-1
24601,Short Eyes,2014,-1,100 minutes,Drama,Robert M. Young,-1,-1
24602,Short Cuts,1993,R,189 minutes,Comedy,Robert Altman,-1,-1
24603,A Short History of Decay,2014,R,93 minutes,Comedy,Michael Maren,-1,-1
24604,Tum Bin 2,2016,-1,147 minutes,Drama,Anubhav Sinha,-1,"$32,870"
24605,Short Circuit,1986,PG,98 minutes,Comedy,John Badham,"Ally Sheedy,Steve Guttenberg",-1
24606,Short Circuit 2,1988,PG,110 minutes,Comedy,-1,-1,-1
24607,Short Cut to Nirvana: Kumbh Mela,2004,Not Rated,-1,Documentary,-1,-1,"$439,651"
24608,"Tulipani: Liefde, Eer en een Fiets",2017,-1,-1,Comedy,Mike van Diem,-1,"$580,314"
